id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1,Listing 1,7265,Host467,Manhattan,Harlem,40.53999,-73.88926,Entire home/apt,252.95,1,14,2023-06-15,0.07,8,293
2,Listing 2,5555,Host314,Manhattan,Upper West Side,40.7099,-73.89882,Entire home/apt,288.74,1,21,2023-06-15,0.41,3,363
3,Listing 3,6393,Host388,Brooklyn,Bedford-Stuyvesant,40.87688,-73.85285,Entire home/apt,185.68,1,16,2023-06-15,1.13,8,34
4,Listing 4,8555,Host2,Bronx,Riverdale,40.67006,-73.97722,Entire home/apt,124.3,2,19,2023-06-15,3.14,8,214
5,Listing 5,5887,Host410,Brooklyn,Bushwick,40.8861,-73.83754,Entire home/apt,109.86,1,17,2023-06-15,0.02,9,343
6,Listing 6,6258,Host499,Manhattan,Upper West Side,40.78274,-73.79485,Entire home/apt,205.21,3,12,2023-06-15,0.15,7,200
7,Listing 7,9996,Host99,Brooklyn,Bushwick,40.73652,-73.95385,Entire home/apt,227.76,2,25,2023-06-15,0.32,7,282
8,Listing 8,8035,Host461,Brooklyn,Park Slope,40.58069,-73.73648,Entire home/apt,124.04,2,21,2023-06-15,0.18,7,236
9,Listing 9,4157,Host284,Brooklyn,Williamsburg,40.87188,-73.76716,Entire home/apt,160.51,2,20,2023-06-15,2.72,7,189
10,Listing 10,7776,Host116,Manhattan,Harlem,40.64103,-73.94333,Private room,117.93,1,20,2023-06-15,1.41,8,314
11,Listing 11,7585,Host52,Manhattan,Upper West Side,40.59875,-73.80629,Private room,108.49,3,19,2023-06-15,0.51,1,125
12,Listing 12,6535,Host247,Manhattan,Upper West Side,40.76885,-73.78343,Entire home/apt,228.14,1,23,2023-06-15,1.2,6,239
13,Listing 13,7546,Host346,Queens,Astoria,40.70484,-73.97073,Entire home/apt,191.76,2,15,2023-06-15,0.59,2,359
14,Listing 14,6534,Host478,Manhattan,Upper West Side,40.77831,-73.97001,Private room,169.94,1,32,2023-06-15,2.57,7,8
15,Listing 15,2648,Host456,Manhattan,SoHo,40.81414,-73.81585,Private room,159.71,2,18,2023-06-15,4.36,2,365
16,Listing 16,1956,Host169,Brooklyn,Bushwick,40.57037,-74.04367,Entire home/apt,217.68,2,15,2023-06-15,1.64,3,127
17,Listing 17,2693,Host38,Brooklyn,Bedford-Stuyvesant,40.89156,-73.87964,Entire home/apt,116.26,7,19,2023-06-15,1.24,1,316
18,Listing 18,8679,Host17,Brooklyn,Bedford-Stuyvesant,40.89782,-73.88552,Entire home/apt,197.82,1,26,2023-06-15,3.67,1,301
19,Listing 19,3975,Host471,Staten Island,St. George,40.60739,-73.88015,Shared room,27.3,1,19,2023-06-15,3.19,8,113
20,Listing 20,8806,Host155,Brooklyn,Bushwick,40.61812,-73.93711,Entire home/apt,149.99,5,14,2023-06-15,0.97,7,25
21,Listing 21,7655,Host494,Queens,Astoria,40.81832,-73.7385,Private room,23.92,1,18,2023-06-15,1.04,6,50
